NTPTime,GSR,GSR_clean,GSR_tonic,GSR_phasic,GSR_avg,GSR_std,TAG,emotion_HRI,shortNTPTime
91.0,0.0,-0.8766929887800348,-0.8826337387372432,5.206396584893862e-06,-0.8766929887800348,,,,
341.0,0.0,-0.8766929887800348,-0.8826337387271186,5.206291095965316e-06,-0.8766929887800348,0.0,,,
591.0,0.0,-0.8766929887800348,-0.8826337387159555,5.206174784421852e-06,-0.8766929887800348,0.0,,,
841.0,0.0,-0.8766929887800348,-0.8826337387037044,5.206047138093336e-06,-0.8766929887800348,0.0,,,
1091.0,0.0,-0.8766929887800348,-0.8826337386903177,5.205907658629747e-06,-0.8766929887800348,0.0,,,
1341.0,0.0,-0.8766929887800348,-0.8826337386757492,5.2057558663776666e-06,-0.8766929887800348,0.0,,,
1591.0,0.0,-0.8766929887800348,-0.8826337386599553,5.205591305707586e-06,-0.8766929887800348,0.0,,,
1841.0,0.0,-0.8766929887800348,-0.8826337386428951,5.205413550810236e-06,-0.8766929887800348,0.0,,,
2091.0,0.0,-0.8766929887800348,-0.882633738624531,5.205222211979183e-06,-0.8766929887800348,0.0,,,
2341.0,0.0,-0.8766929887800348,-0.8826337386048301,5.20501694239582e-06,-0.8766929887800348,0.0,,,
2591.0,0.0,-0.8766929887800348,-0.8826337385837635,5.2047974454314765e-06,-0.8766929887800348,0.0,,,
2841.0,0.0,-0.8766929887800348,-0.8826337385613086,5.204563482479729e-06,-0.8766929887800348,0.0,,,
3091.0,0.0,-0.8766929887800348,-0.8826337385374488,5.204314881330083e-06,-0.8766929887800348,0.0,,,
3341.0,0.0,-0.8766929887800348,-0.8826337385121746,5.204051545091955e-06,-0.8766929887800348,0.0,,,
3591.0,0.0,-0.8766929887800348,-0.8826337384854852,5.203773461675352e-06,-0.8766929887800348,0.0,,,
3841.0,0.0,-0.8766929887800348,-0.8826337384573884,5.203480713831766e-06,-0.8766929887800348,0.0,,,
4091.0,0.0,-0.8766929887800348,-0.882633738427902,5.203173489755552e-06,-0.8766929887800348,0.0,,,
